"subaward_primary_place_of_performance_state_name","n","long","lat","group","order","subregion"
"michigan",830,-88.20685577,47.44090652,23,6265,"north"
"michigan",830,-88.13809967,47.45809555,23,6266,"north"
"michigan",830,-88.08080292,47.46382523,23,6267,"north"
"michigan",830,-88.00058746,47.46382523,23,6268,"north"
"michigan",830,-87.94329071,47.46955109,23,6269,"north"
"michigan",830,-87.90318298,47.47528076,23,6270,"north"
"michigan",830,-87.85162354,47.46382523,23,6271,"north"
"michigan",830,-87.83442688,47.48101425,23,6272,"north"
"michigan",830,-87.74848175,47.45809555,23,6273,"north"
"michigan",830,-87.719841,47.41798782,23,6274,"north"
"michigan",830,-87.719841,47.40652847,23,6275,"north"
"michigan",830,-87.74275208,47.39506912,23,6276,"north"
"michigan",830,-87.76567841,47.39506912,23,6277,"north"
"michigan",830,-87.77140808,47.4007988,23,6278,"north"
"michigan",830,-87.78858948,47.38933945,23,6279,"north"
"michigan",830,-87.88599396,47.38360977,23,6280,"north"
"michigan",830,-87.94902039,47.3778801,23,6281,"north"
"michigan",830,-87.95475006,47.36069107,23,6282,"north"
"michigan",830,-87.94329071,47.34350586,23,6283,"north"
"michigan",830,-87.95475006,47.32631302,23,6284,"north"
"michigan",830,-88.06360626,47.26901627,23,6285,"north"
"michigan",830,-88.13237,47.22891235,23,6286,"north"
"michigan",830,-88.17247772,47.217453,23,6287,"north"
"michigan",830,-88.20685577,47.20026398,23,6288,"north"
"michigan",830,-88.22976685,47.17734528,23,6289,"north"
"michigan",830,-88.22976685,47.15442657,23,6290,"north"
"michigan",830,-88.2412262,47.1486969,23,6291,"north"
"michigan",830,-88.2412262,47.1257782,23,6292,"north"
"michigan",830,-88.29279327,47.09140015,23,6293,"north"
"michigan",830,-88.332901,47.08567047,23,6294,"north"
"michigan",830,-88.3558197,47.07421494,23,6295,"north"
"michigan",830,-88.35009766,47.04556274,23,6296,"north"
"michigan",830,-88.37300873,46.99399948,23,6297,"north"
"michigan",830,-88.39020538,46.98254013,23,6298,"north"
